Experiment,Sample,Time (min),Capillary Free oil v/v,Capillary Free oil g/g,OL conc,Effluent Conc,,,30.49
H11759-5,Broth,0,30.49115314,25.91748017,29.01273885,84.98535533,,,29.01
,Broth,80,15.57147306,13.2357521,8.723307587,79.17916338,,,
,Broth,140,13.3035583,11.30802455,0,0,,,
,Broth,190,7.847079345,6.670017443,,,,,
,Broth,240,6.986039323,5.938133424,,,,,
,Broth,340,2.961030991,2.516876342,,,,,
,Broth,410,3.184313725,2.706666667,,,,,
H11759-7,Broth,0,29.01273885,24.66082803,,,,,
,Broth,80,18.3026276,15.55723346,,,,,
,Broth,140,16.80788784,14.28670467,,,,,
,Broth,190,16.45549572,13.98717137,,,,,
,Broth,240,12.35741445,10.50380228,,,,,
,Broth,340,8.723307587,7.414811449,,,,,
,Broth,410,6.162553058,5.238170099,,,,,
,Effluent,0,0,0,,,,,
,Effluent,80,84.98535533,72.23755203,,,,,
,Effluent,140,84.83860956,72.11281813,,,,,
,Effluent,190,84.74067046,72.02956989,,,,,
,Effluent,240,86.45004062,73.48253452,,,,,
,Effluent,340,84.63127781,71.93658614,,,,,
,Effluent,410,79.17916338,67.30228887,,,,,
