Time,% Overlay In Broth,% Overlay In Effluent,Hermes
46.29,1.74,76.78,H11759-7
72.83,2.51,58.54,H11759-7
93.05,1.81,66.3,H11759-7
116.64,1.26,82.35,H11759-7
140.57,3.49,64.38,H11759-7
165.86,2.86,71.94,H11759-7
52.59,1.48,89.58,H11958-5
72.73,1.36,81.07,H11958-5
96.14,3.04,74.29,H11958-5
120.23,2.57,63.19,H11958-5
142.21,3.99,70.24,H11958-5
166.12,4.26,70.64,H11958-5
52.68,1.27,81.08,H11958-6
73.15,1.87,80.2,H11958-6
96.31,2.88,74.28,H11958-6
120.39,5.34,72.62,H11958-6
142.38,5.2,73.63,H11958-6
166.21,3.38,80.61,H11958-6
48.26,0.6,96.16,H12078-5
72.61,1.44,84.08,H12078-5
97.97,2.28,74.69,H12078-5
119.04,2.15,76.14,H12078-5
143.14,3.11,73.65,H12078-5
165.81,2.18,75.33,H12078-5
48.43,0.29,95,H12078-6
72.86,1.48,80.28,H12078-6
98.13,3.77,66.01,H12078-6
119.12,3.49,68.32,H12078-6
143.31,3.37,71.17,H12078-6
166.07,3.29,69.38,H12078-6
51.36,2.07,84.63,H12185-5
73.06,3.1,66.02,H12185-5
96,3.28,53.75,H12185-5
125.2,2.96,71.03,H12185-5
146.36,3.39,71.81,H12185-5
169.3,2.48,72.4,H12185-5
52.5,0.63,69.71,H12185-6
73.2,2.48,75.71,H12185-6
96,3.36,57.09,H12185-6
125.2,2.63,62.26,H12185-6
146.37,2.43,60.66,H12185-6
53.02,1.58,77.95,H12263-5
75.25,2.34,78.48,H12263-5
53.19,2.03,74.1,H12263-6
75.33,3.53,68.74,H12263-6
98.99,2.96,71.15,H12263-6
123.65,3.4,75.61,H12263-6
147.97,2.6,80.37,H12263-6
166.51,1.58,85.9,H12263-6
45.84,0.43,93.48,H12381-5
73.96,3.36,66.13,H12381-5
95.7,3.61,58.76,H12381-5
123.32,1.98,60.08,H12381-5
144.98,2.02,68.89,H12381-5
168.49,1.33,62.89,H12381-5
45.92,0.58,94.77,H12381-6
74.05,1.73,40.8,H12381-6
95.7,5.68,65.47,H12381-6
123.15,1.64,36.65,H12381-6
145.06,1.81,68.77,H12381-6
164,1.24,84.76,H12381-6
48.47,0.88,93.14,H12460-5
71.51,1.38,79.02,H12460-5
97.16,3.34,61.51,H12460-5
121.37,2.97,58.41,H12460-5
145.08,2.83,64.05,H12460-5
168.04,1.92,68.47,H12460-5
48.56,1.04,93.21,H12460-6
71.6,1.86,70.74,H12460-6
97.24,3.08,68.37,H12460-6
121.37,3.43,58.43,H12460-6
145.17,3.57,67.22,H12460-6
168.2,1.81,71.54,H12460-6
50.28,0.45,90.74,H12489-3
74.57,2.32,65,H12489-3
97.1,4.07,57.61,H12489-3
119.29,3.29,69.77,H12489-3
144.51,2.45,62.36,H12489-3
167.29,2.57,64.83,H12489-3
50.45,0.81,90.84,H12489-4
74.49,2.74,68.25,H12489-4
97.18,3.55,78.09,H12489-4
119.46,3.12,79.46,H12489-4
144.51,2.95,78.99,H12489-4
167.37,3.24,77.92,H12489-4
49.14,0.47,89.82,H12569-3
72.42,2.91,68.06,H12569-3
96.83,3.31,68.95,H12569-3
122.37,2.76,69.78,H12569-3
145.21,2.56,69.66,H12569-3
